title,author,description,isbn,price,stock,category,language,image
Atomic Habits,James Clear,Un guide facile et éprouvé pour créer de bonnes habitudes et se débarrasser des mauvaises. Ce livre transformera votre façon de voir le progrès et le succès.,9780735211292,180,50,Développement Personnel,en,https://images.unsplash.com/photo-1589829085413-56de8ae18c73
Le pouvoir du moment présent,Eckhart Tolle,Ce livre est un guide d'éveil spirituel qui a inspiré des millions de lecteurs à travers le monde. Apprenez à vivre l'instant présent.,9782290020203,150,30,Développement Personnel,fr,https://images.unsplash.com/photo-1544947950-fa07a98d237f
Les 4 accords Toltèques,Don Miguel Ruiz,Découvrez la voie de la liberté personnelle à travers la sagesse ancestrale des Toltèques. Quatre règles de vie pour transformer votre existence.,9782883538238,120,35,Développement Personnel,fr,https://images.unsplash.com/photo-1544716278-ca5e3f4abd8c
Miracle Morning,Hal Elrod,Offrez-vous un supplément de vie ! Découvrez comment une routine matinale peut transformer radicalement votre vie avant 8h du matin.,9782266286466,160,25,Développement Personnel,fr,https://images.unsplash.com/photo-1506126613408-eca07ce68773
Père Riche Père Pauvre,Robert Kiyosaki,Ce que les gens riches enseignent à leurs enfants à propos de l'argent - et que ne font pas les gens pauvres et de la classe moyenne !,9782892257519,170,45,Business & Finance,fr,https://images.unsplash.com/photo-1633158829585-23ba8f7c8caf
Think and Grow Rich,Napoleon Hill,The masterpiece by Napoleon Hill. This book teaches you how to use the power of your mind to acquire wealth.,9781585424337,140,40,Business & Finance,en,https://images.unsplash.com/photo-1621360841011-cb2aab44c20f
La semaine de 4 heures,Tim Ferriss,Travaillez moins gagnez plus et vivez mieux ! Le livre culte pour les entrepreneurs et ceux qui veulent changer de vie.,9782744064753,200,20,Business & Finance,fr,https://images.unsplash.com/photo-1434030216411-0b793f4b4173
L'intelligence émotionnelle,Daniel Goleman,Pourquoi est-elle plus importante que le QI ? Apprenez à maîtriser vos émotions pour réussir dans tous les domaines de votre vie.,9782290338353,190,15,Psychologie,fr,https://images.unsplash.com/photo-1457369804613-52c61a468e7d
Thinking Fast and Slow,Daniel Kahneman,A groundbreaking tour of the mind explaining the two systems that drive the way we think.,9780374533557,210,12,Psychologie,en,https://images.unsplash.com/photo-1606326608606-aa0b62935f2b
L'Alchimiste,Paulo Coelho,Un roman initiatique sur la quête de soi et la réalisation de ses rêves. Un best-seller mondial traduit dans plus de 80 langues.,9782290338353,130,28,Fiction,fr,https://images.unsplash.com/photo-1543002588-bfa74002ed7e
1984,George Orwell,Le chef-d'œuvre dystopique de George Orwell. Une critique saisissante du totalitarisme qui reste d'une actualité troublante.,9782072730139,110,22,Fiction,fr,https://images.unsplash.com/photo-1544947950-fa07a98d237f
The Little Prince,Antoine de Saint-Exupéry,A timeless tale about love friendship and the importance of looking beyond appearances.,9780156012195,90,18,Fiction,en,https://images.unsplash.com/photo-1512820790803-83ca734da794
Deep Work,Cal Newport,Des règles pour réussir à se concentrer dans un monde distrait. Apprenez à retrouver votre concentration et à produire un travail de qualité.,9782100772162,175,30,Productivité,en,https://images.unsplash.com/photo-1484480974693-6ca0a78fb36b
Essentialism,Greg McKeown,L'art de faire moins mais mieux. Découvrez comment éliminer le superflu pour vous concentrer sur l'essentiel.,9780804137386,155,25,Productivité,en,https://images.unsplash.com/photo-1495592822108-9e6261896da8
Getting Things Done,David Allen,La méthode GTD pour une efficacité sans stress. Organisez votre vie et votre travail de manière optimale.,9782845610804,165,20,Productivité,en,https://images.unsplash.com/photo-1484480974693-6ca0a78fb36b
Start with Why,Simon Sinek,How great leaders inspire everyone to take action. Découvrez pourquoi certains leaders inspirent alors que d'autres échouent.,9781591846444,145,35,Leadership,en,https://images.unsplash.com/photo-1519389950473-47ba0277781c
Leaders Eat Last,Simon Sinek,Why some teams pull together and others don't. Les secrets des équipes qui réussissent.,9781591848011,148,28,Leadership,en,https://images.unsplash.com/photo-1522071820081-009f0129c71c
L'art de la guerre,Sun Tzu,Le classique intemporel de la stratégie militaire appliqué au business et à la vie quotidienne.,9782081403789,95,40,Stratégie,fr,https://images.unsplash.com/photo-1551836022-d5d88e9218df
Good to Great,Jim Collins,Why some companies make the leap and others don't. Les secrets des entreprises qui passent de bonnes à excellentes.,9780066620992,185,15,Business & Finance,en,https://images.unsplash.com/photo-1460925895917-afdab827c52f
The 7 Habits of Highly Effective People,Stephen Covey,Powerful lessons in personal change. Les 7 habitudes qui transformeront votre vie personnelle et professionnelle.,9780743269513,172,32,Développement Personnel,en,https://images.unsplash.com/photo-1589829085413-56de8ae18c73
